Interlevin;PD30H SS;Chilled Display;51;810.9432;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd30hss-stocked-15.jpg;pd30hss-stocked-wine-15.jpg; pd30hss-interior-15.jpg; pd30hss-int-wine-15.jpg; pd30hss-cover-15.jpg; pd30hss-lock-15.jpg;1350;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:86,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Mirror Stainless Steel,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:4.22,Watts:290,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:340ltr,Capacity Cuft:12.0
Interlevin;EC10H;Chilled Display;51;440.4822;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ec10h-stocked-15.jpg;ec10h-15.jpg;ec10h-led-light-15.jpg;ec10h-stocked-half-wine-15.jpg;ec10h-stocked-wine-15.jpg;ec10h-wine-15.jpg;ec10h-wine-shelf.jpg;600;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:38,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:1.24,Watts:195,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:142ltr,Capacity Cuft:5.0
Interlevin;EC20H;Chilled Display;51;513.7602;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ec20h-stocked-15.jpg;ec20h-15.jpg ;ec20h-stocked-part-wine-15.jpg;ec20h-stocked-half-wine-15.jpg;ec20h-stocked-wine-15.jpg; ec20h-wine-15.jpg;ec20h-wine-shelf.jpg;ec20-led-light-15.jpg;900;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:54,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:1.35,Watts:230,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:210ltr,Capacity Cuft:7.4
Interlevin;EC20S;Chilled Display;51;525.9732;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ec20s-stocked-15.jpg;ec20s-15.jpg;ec20s-stocked-part-wine-15.jpg ;ec20s-stocked-half-wine-15.jpg;ec20s-stocked-wine-15.jpg;ec20s-lock-15.jpg;900;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:54,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:1.53,Watts:230,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:210ltr,Capacity Cuft:7.4
Interlevin;EC30H;Chilled Display;51;714.0534;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ec30h-stocked-15.jpg;ec30h-15.jpg;ec30h-stocked-part-wine-15.jpg;ec30h-stocked-third-wine-15.jpg;ec30h-wine-shelf.jpg;ec30h-led-light-15.jpg;1350;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:86,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:1.80,Watts:290,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:340ltr,Capacity Cuft:12.0
Interlevin;BA05H;Chilled Display;51;356.6196;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba05-stocked-11.jpg;ba05-11.jpg;500;520;870;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:53,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.10,Watts:175,Noise Level dB:42,Max Ambient:25C at 60% RH,Reversible Door:Yes,Climate Class:3,Capacity in Litres:100ltr,Capacity Cuft:3.5
Interlevin;BA10H;Chilled Display;51;362.319;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba10h-stocked-11.jpg;ba10h-11.jpg;600;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:55,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.10,Watts:210,Noise Level dB:42,Max Ambient:25C at 60% RH,Reversible Door:Yes,Climate Class:3,Capacity in Litres:124ltr,Capacity Cuft:4.38
Interlevin;BA10H AL;Chilled Display;51;362.319;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba10hal-stocked-11.jpg;ba10hal-11.jpg;600;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:55,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.10,Watts:210,Noise Level dB:45,Max Ambient:25C at 60% RH,Reversible Door:Yes,Climate Class:3,Capacity in Litres:124ltr,Capacity Cuft:4.4
Interlevin;BA20H;Chilled Display;51;491.7768;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba20h-stocked-07.jpg;900;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:65,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:42,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:196ltr,Capacity Cuft:6.9
Interlevin;BA20H AL;Chilled Display;51;491.7768;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba20hal-stocked-11.jpg;ba20hal-11.jpg;900;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:65,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:196ltr,Capacity Cuft:6.9
Interlevin;BA20S;Chilled Display;51;514.5744;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba20s-stocked-07.jpg;900;515;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:65,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:196ltr,Capacity Cuft:6.9
Interlevin;BA20S AL;Chilled Display;51;514.5744;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba20sal-stocked-11.jpg;ba20sal-11.jpg;900;515;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R600a,Refrigerant Charge:65,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:196ltr,Capacity Cuft:6.9
Interlevin;BA25H;Chilled Display;51;553.656;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba25h-15.jpg;900;520;870;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R134a,Refrigerant Charge:140,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:191ltr,Capacity Cuft:6.74
Interlevin;BA25S;Chilled Display;51;578.082;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba25s-15.jpg;900;515;870;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R134a,Refrigerant Charge:140,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.70,Watts:230,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:191ltr,Capacity Cuft:6.74
Interlevin;BA30S;Chilled Display;51;698.5836;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba30s-stocked-10.jpg;ba30s-10.jpg;1355;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R134a,Refrigerant Charge:186,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:3.50,Watts:260,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:328ltr,Capacity Cuft:11.6
Interlevin;BA30S AL;Chilled Display;51;698.5836;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ba30sal-11.jpg;1355;520;900;Temperature Range in Degrees:+2/+10,Refrigerant Gas:R134a,Refrigerant Charge:186,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:3.50,Watts:260,Noise Level dB:45,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:328ltr,Capacity Cuft:11.6
Interlevin;ICE1;Ice Makers;51;761.277;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ice-one-09.jpg;ice-one-int-09.jpg;457;523;738;Refrigerant Gas:R134a,Refrigerant Charge:250,Defrost:Hot Gas,Interior Finish:Plastic,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:6.50,Watts:340,Noise Level dB:58,Max Ambient:10C/32C at 65%,Capacity in Litres:25kg/24hr (14kg Bin)
Interlevin;ICE3;Ice Makers;51;924.117;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ice-three-09.jpg;457;523;790;Refrigerant Gas:R134a,Refrigerant Charge:290,Defrost:Hot Gas,Interior Finish:Plastic,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:10.00,Watts:500,Noise Level dB:58,Max Ambient:10C/32C at 65%,Capacity in Litres:38kg/24hr (14kg bin)
Interlevin;ALFA1100;Chilled Display;51;511.3176;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;alfa1100-03.jpg;1100;600;820;Temperature Range in Degrees:+0/+8,Refrigerant Gas:R134a,Defrost:Off Cycle,Interior Finish:Hammered Aluminium,Exterior Finish:Grey,Power:13 Amp,kWh per 24 hours:0.32,Watts:283,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:281ltr,Capacity Cuft:9.9
Interlevin;ALFA1400;Chilled Display;51;566.6832;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;alfa1400-03.jpg;1410;600;820;Temperature Range in Degrees:+0/+8,Refrigerant Gas:R134a,Refrigerant Charge:180,Defrost:Off Cycle,Interior Finish:Hammered Aluminium,Exterior Finish:Grey,Power:13 Amp,kWh per 24 hours:0.82,Watts:258,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:380ltr,Capacity Cuft:13.4
Interlevin;ALFA1800;Chilled Display;51;647.289;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;alfa1800-open-03.jpg;1810;600;820;Temperature Range in Degrees:+0/+8,Refrigerant Gas:R134a,Defrost:Off Cycle,Interior Finish:Hammered Aluminium,Exterior Finish:Grey,Power:13 Amp,kWh per 24 hours:1.10,Watts:393,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:508ltr,Capacity Cuft:17.9
Interlevin;VOC75;Chilled Display;51;451.881;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;voc75-12.jpg;570;570;980;Temperature Range in Degrees:+2/+12,Refrigerant Gas:R134a,Refrigerant Charge:100,Defrost:Off Cycle,Interior Finish:White,Exterior Finish:White/Grey,Power:13 Amp,kWh per 24 hours:2.14,Watts:211,Noise Level dB:42,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:65ltr,Capacity Cuft:2.3
Interlevin;VOC100;Chilled Display;51;539.0004;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;voc100-12.jpg;660;460;970;Temperature Range in Degrees:+2/+12,Refrigerant Gas:R134a,Refrigerant Charge:151,Defrost:Off Cycle,Interior Finish:Grey,Exterior Finish:Grey,Power:13 Amp,kWh per 24 hours:2.60,Watts:140,Noise Level dB:42,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:110ltr,Capacity Cuft:3.9
Interlevin;LJD1;Chilled Display;51;429.0834;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ljd1-08.jpg;230;430;635;Temperature Range in Degrees:+2/+8,Refrigerant Gas:R134a,Refrigerant Charge:120,Defrost:Off Cycle,Exterior Finish:Grey and Stainless,Power:13 Amp,kWh per 24 hours:3.54,Watts:211,Noise Level dB:55,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:12ltr,Capacity Cuft:0.4
Interlevin;LJD2;Chilled Display;51;517.8312;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ljd2-08.jpg;430;430;635;Temperature Range in Degrees:+2/+8,Refrigerant Gas:R134a,Refrigerant Charge:150,Defrost:Off Cycle,Exterior Finish:Grey and Stainless,Power:13 Amp,kWh per 24 hours:5.05,Watts:301,Noise Level dB:55,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:2 x 12ltr,Capacity Cuft:2 x 0.4
Interlevin;LJD3;Chilled Display;51;602.508;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;ljd3-08.jpg;630;430;635;Temperature Range in Degrees:+2/+8,Refrigerant Gas:R134a,Refrigerant Charge:200,Defrost:Off Cycle,Exterior Finish:Grey and Stainless,Power:13 Amp,kWh per 24 hours:6.63,Watts:395,Noise Level dB:55,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:3 x 12ltr,Capacity Cuft:3 x 0.4
Interlevin;VL112;Chilled Display;51;586.224;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;vl112-05.jpg;180;460;670;Temperature Range in Degrees:+3/+8,Refrigerant Gas:R134a,Refrigerant Charge:105,Defrost:Off Cycle,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:1.59,Watts:130,Noise Level dB:53.5,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:11.5ltr,Capacity Cuft:0.4
Interlevin;VL223;Chilled Display;51;695.3268;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;vl223-05.jpg;335;460;670;Temperature Range in Degrees:+3/+8,Refrigerant Gas:R134a,Refrigerant Charge:240,Defrost:Off Cycle,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:1.75,Watts:170,Noise Level dB:53.5,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:2 x 11.5ltr,Capacity Cuft:2 x 0.4
